fast_ema,slow_ema,signal_ema,min_days_between_trades,trade_size,final_value,cagr
8,50,6,2,11,1446820.0751953125,0.03764319721591547
8,50,6,2,21,1744377.6689453125,0.05724095797746065
8,50,6,2,31,1881398.3271484375,0.06526915534810285
8,50,6,2,41,2065998.1181640625,0.07529082249675878
8,50,6,4,1,1035975.560546875,0.0035420657532485578
8,50,6,4,11,1398178.107421875,0.03409926667676455
8,50,6,4,21,1683670.9140625,0.053501156341226874
8,50,6,4,31,1776292.91796875,0.05916033827959688
8,50,6,4,41,2023227.0302734375,0.07304277715854646
8,50,6,6,1,1068357.1591796875,0.006636853887364902
8,50,6,6,11,1682265.7509765625,0.05341316375469218
8,50,6,6,21,1610309.505859375,0.04881631982790524
8,50,6,6,31,1630186.7998046875,0.050104348520868314
8,50,6,6,41,1866215.408203125,0.06440598888598292
8,50,6,8,1,1065412.4580078125,0.006358936810231697
8,50,6,8,11,1649874.0380859375,0.05136620441966433
8,50,6,8,21,1810054.1435546875,0.06115724554164359
8,50,6,8,31,1945297.1376953125,0.06883451003929553
8,50,6,8,41,1978770.5981445312,0.07066035621157796
8,50,6,10,1,1091558.1123046875,0.008802731061311908
8,50,6,10,11,1698324.0751953125,0.05441483345326703
8,50,6,10,21,1618749.3935546875,0.049364954282881346
8,50,6,10,31,1733243.181640625,0.05656388926769562
8,50,6,10,41,1847550.1982421875,0.06333614749626748
8,50,8,2,1,1017385.1020507812,0.0017257665610135309
8,50,8,2,11,1191236.1225585938,0.017660476241780465
8,50,8,2,21,1321616.0766601562,0.028289750203387642
8,50,8,2,31,1419383.5151367188,0.03565766710788543
8,50,8,2,41,1430346.2700195312,0.03645512897907177
8,50,8,4,1,1012821.2006835938,0.0012753064119279678
8,50,8,4,11,1141033.2075195312,0.013286327055899827
8,50,8,4,21,1217405.6479492188,0.019875223485044557
8,50,8,4,31,1411514.0864257812,0.03508179770442954
8,50,8,4,41,1490671.5239257812,0.040747362277591126
8,50,8,6,1,1025033.6020507812,0.002476617049794072
8,50,8,6,11,1275369.6225585938,0.02463207499541009
8,50,8,6,21,1557128.9643554688,0.04529857874037413
8,50,8,6,31,1606544.4409179688,0.04857073682823154
8,50,8,6,41,1780955.6479492188,0.05943815178186851
8,50,8,8,1,1038519.6547851562,0.0037883395620259552
8,50,8,8,11,1423716.2026367188,0.035973499328997516
8,50,8,8,21,1732425.4594726562,0.056514010852933394
8,50,8,8,31,1679723.0893554688,0.05325377170592138
8,50,8,8,41,1216018.7900390625,0.019758932829923914
8,50,8,10,1,1069399.70703125,0.006735082978178708
8,50,8,10,11,1621528.66015625,0.04954505699189826
8,50,8,10,21,1398154.8525390625,0.034097546014914215
8,50,8,10,31,1502155.1044921875,0.04154667793486988
8,50,8,10,41,1509351.2080078125,0.0420447651556477
8,50,10,2,1,1020344.6000976562,0.00201690002096111
8,50,10,2,11,1219889.4467773438,0.020083197061071756
8,50,10,2,21,1343324.7446289062,0.02996713648205862
8,50,10,2,31,1560720.1440429688,0.04553950327354128
8,50,10,2,41,1472729.8598632812,0.03948736899567962
8,50,10,4,1,1014070.2973632812,0.0013987743729295676
8,50,10,4,11,1154773.2709960938,0.01450044051022159
8,50,10,4,21,1245349.2446289062,0.022193302679721194
8,50,10,4,31,1396691.3637695312,0.03398920855174703
8,50,10,4,41,1415575.7397460938,0.03537938132506291
8,50,10,6,1,1024578.2465820312,0.0024320563577371335
8,50,10,6,11,1270360.7124023438,0.02422878053572508
8,50,10,6,21,1552661.1118164062,0.04499814107118527
8,50,10,6,31,1593618.8637695312,0.047723683386823534
8,50,10,6,41,1756913.0717773438,0.0579985753120833
8,50,10,8,1,1061300.4541015625,0.005969692310868524
8,50,10,8,11,1657556.9365234375,0.05185496752199459
8,50,10,8,21,2026460.06640625,0.07321419234346105
8,50,10,8,31,1637825.0,0.050595539755170504
8,50,10,8,41,1347780.2177734375,0.03030838225448762
8,50,10,10,1,1054795.1552734375,0.005351116322258598
8,50,10,10,11,1466483.6064453125,0.039045468589910426
8,50,10,10,21,1575954.3466796875,0.04655601772681717
8,50,10,10,31,1609253.7470703125,0.048747508278643714
8,50,10,10,41,1407592.9516601562,0.03479377739557643
8,50,12,2,1,1018409.39453125,0.0018266149994092817
8,50,12,2,11,1202503.33984375,0.01861934421792344
8,50,12,2,21,1266396.40234375,0.02390857668677815
8,50,12,2,31,1354836.595703125,0.030846760384388938
8,50,12,2,41,1322536.4296875,0.028361365695321217
8,50,12,4,1,1016641.6953125,0.0016525159595044414
8,50,12,4,11,1183058.6484375,0.01695942797025607
8,50,12,4,21,1317502.03515625,0.027969074275163486
8,50,12,4,31,1523814.5380859375,0.043039431450810905
8,50,12,4,41,1393595.595703125,0.033759701562737776
8,50,12,6,1,1039716.6943359375,0.0039040277904369702
8,50,12,6,11,1436883.6376953125,0.03692806141738014
8,50,12,6,21,1672762.1318359375,0.052816296003908025
8,50,12,6,31,1576131.6396484375,0.04656779559710089
8,50,12,6,41,1239523.681640625,0.021713929118570396
8,50,12,8,1,1041920.1459960938,0.004116667954545017
8,50,12,8,11,1461121.6059570312,0.03866477269800295
8,50,12,8,21,1616365.6166992188,0.04921025835474979
8,50,12,8,31,1551330.095703125,0.0449084873888268
8,50,12,8,41,1236436.4296875,0.021459062953665065
8,50,12,10,1,1042410.3471679688,0.0041639189054256676
8,50,12,10,11,1372094.2016601562,0.03215290035503826
8,50,12,10,21,1494313.5756835938,0.04100146591369547
8,50,12,10,31,1472394.7866210938,0.03946370659901399
8,50,12,10,41,1402554.095703125,0.034422594755771474
8,50,14,2,1,1014043.0908203125,0.0013960865788731347
8,50,14,2,11,1154473.9990234375,0.014474134765184221
8,50,14,2,21,1294904.9072265625,0.026191466616939385
8,50,14,2,31,1424341.6533203125,0.036019020229614895
8,50,14,2,41,1403513.3916015625,0.034493352785506914
8,50,14,4,1,1032735.4443359375,0.0032276262953991885
8,50,14,4,11,1360089.8876953125,0.031245932851660996
8,50,14,4,21,1555458.2646484375,0.04518632460896033
8,50,14,4,31,1783427.1259765625,0.059585141382128226
8,50,14,4,41,1712612.4716796875,0.0552989597361615
8,50,14,6,1,1064807.99609375,0.0063018029760673056
8,50,14,6,11,1712887.95703125,0.055315940682015396
8,50,14,6,21,1848036.560546875,0.06336414769997067
8,50,14,6,31,1876244.2138671875,0.06497684316586994
8,50,14,6,41,1748928.2216796875,0.057516550065791705
8,50,14,8,1,1065481.6474609375,0.006365474747297428
8,50,14,8,11,1720298.1220703125,0.05577178429873575
8,50,14,8,21,1787459.9892578125,0.059824600224447355
8,50,14,8,31,1591393.0244140625,0.04757719350937317
8,50,14,8,41,1768766.17578125,0.05871049413855367
